"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among infected","Infected 33 vs 50","LOC126323742","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.001004118525804,7.81912025529051
"Diet contrasts among infected","Infected 33 vs 50","LOC126272144","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00101443932441863,2.63069871454192
"Diet contrasts among infected","Infected 33 vs 50","LOC126278485","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00114813478773558,5.67717725513899
"Diet contrasts among infected","Infected 33 vs 50","LOC126321793","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00153267793563254,4.69788935185269
"Diet contrasts among infected","Infected 33 vs 50","LOC126311246","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00354612509832124,7.47935924391592
"Diet contrasts among infected","Infected 33 vs 50","LOC126266840","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,4.98613355097189
"Diet contrasts among infected","Infected 33 vs 50","LOC126267477","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,1.37329498067755
"Diet contrasts among infected","Infected 33 vs 50","LOC126272465","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.00415260588431329,3.64721015860107
"Diet contrasts among infected","Infected 33 vs 50","LOC126281341","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,4.39335552235127
"Diet contrasts among infected","Infected 33 vs 50","LOC126281974","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,6.89757003688814
"Diet contrasts among infected","Infected 33 vs 50","LOC126291795","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,5.75435224206134
"Diet contrasts among infected","Infected 33 vs 50","LOC126314423","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,7.4774138020162
"Diet contrasts among infected","Infected 33 vs 50","LOC126315417","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,7.57295357449416
"Diet contrasts among infected","Infected 33 vs 50","LOC126316788","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,7.71428834147258
"Diet contrasts among infected","Infected 33 vs 50","LOC126318273","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,6.98743766094747
"Diet contrasts among infected","Infected 33 vs 50","LOC126322687","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",0.00415260588431329,7.57800866810878
