"gene_id","removal_source"
"LOC126274178","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274179","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274100","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274180","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274181","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274136","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274137","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274101","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274102","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274138","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274103","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274104","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274273","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274105","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274250","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274106","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274279","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274107","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274182","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274108","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274251","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274246","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274085","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274252","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274253","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274254","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274255","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274257","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274111","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274258","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274259","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274112","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274260","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274261","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274262","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274263","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274264","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274265","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274113","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274322","data/excluded_loci/gregaria_rrna_list.txt"
"LOC126274183","data/excluded_loci/gregaria_rrna_list.txt"
