taxid	scientific_name	rank	lineage
752182	Hyperolius riggenbachi	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amphibia;Batrachia;Anura;Neobatrachia;Microhyloidea;Hyperoliidae;Hyperolius;Hyperolius riggenbachi
761204	Phytophthora nicotianae INRA-310	strain	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Peronosporales;Peronosporaceae;Phytophthora;Phytophthora nicotianae;Phytophthora nicotianae INRA-310
763407	Phycomyces blakesleeanus NRRL 1555(-)	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Mucoromycota;Mucoromycotina;Mucoromycetes;Mucorales;Phycomycetaceae;Phycomyces;Phycomyces blakesleeanus;Phycomyces blakesleeanus NRRL 1555(-)
767769	Aspergillus brasiliensis CBS 101740	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus brasiliensis;Aspergillus brasiliensis CBS 101740
768556	uncultured Solirubrobacterales bacterium	species	root;cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;environmental samples;uncultured Solirubrobacterales bacterium
859984	Eulemur rufifrons	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Primates;Strepsirrhini;Lemuriformes;Lemuridae;Eulemur;Eulemur rufifrons
863751	Prorops nasuta	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Hymenoptera;Apocrita;Aculeata;Chrysidoidea;Bethylidae;Scleroderminae;Prorops;Prorops nasuta
877792	Dalotia coriaria	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Neuropteroidea;Coleoptera;Polyphaga;Staphyliniformia;Staphylinoidea;Staphylinidae;Tachyporinae group;Aleocharinae;Athetini;Dalotia;Dalotia coriaria
885580	Fukomys damarensis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Hystricomorpha;Bathyergidae;Fukomys;Fukomys damarensis
890382	Albugo laibachii Nc14	isolate	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Albuginales;Albuginaceae;Albugo;Albugo laibachii;Albugo laibachii Nc14
904126	Albugo laibachii Alem1	strain	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Peronosporomycetes;Albuginales;Albuginaceae;Albugo;Albugo laibachii;Albugo laibachii Alem1
905079	Guillardia theta CCMP2712	strain	root;cellular organisms;Eukaryota;Cryptophyceae;Pyrenomonadales;Geminigeraceae;Guillardia;Guillardia theta;Guillardia theta CCMP2712
911321	Calcarisporiella thermophila	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Fungi incertae sedis;Calcarisporiellomycota;Calcarisporiellomycotina;Calcarisporiellomycetes;Calcarisporiellales;Calcarisporiellaceae;Calcarisporiella;Calcarisporiella thermophila
929439	Leishmania mexicana MHOM/GT/2001/U1103	strain	root;cellular organisms;Eukaryota;Discoba;Euglenozoa;Kinetoplastea;Metakinetoplastina;Trypanosomatida;Trypanosomatidae;Leishmaniinae;Leishmania;Leishmania;Leishmania mexicana species complex;Leishmania mexicana;Leishmania mexicana MHOM/GT/2001/U1103
935547	Mesorhizobium japonicum R7A	strain	root;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium japonicum;Mesorhizobium japonicum R7A
936456	Desulfurispirillum indicum	species	root;cellular organisms;Bacteria;Pseudomonadati;Chrysiogenota;Chrysiogenia;Chrysiogenales;Chrysiogenaceae;Desulfurispirillum;Desulfurispirillum indicum
940905	Boodlea coacta	species	root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;core chlorophytes;Ulvophyceae;TCBD clade;Cladophorales;Boodleaceae;Boodlea;Boodlea coacta
944492	Amycolatopsis thermalba	species	root;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis thermalba
946362	Salpingoeca rosetta	species	root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellata;Craspedida;Salpingoecidae;Salpingoeca;Salpingoeca rosetta
980011	Bidens hawaiensis	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Asteraceae;Asteroideae;Heliantheae alliance;Coreopsideae;Bidens;Bidens hawaiensis
997348	Neisseria macacae ATCC 33926	strain	root;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria macacae;Neisseria macacae ATCC 33926
1002788	Indicator indicator	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Coraciimorphae;Piciformes;Indicatoridae;Indicator;Indicator indicator
1004790	Fabriciana nerippe	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Obtectomera;Papilionoidea;Nymphalidae;Heliconiinae;Argynnini;Fabriciana;Fabriciana nerippe
1028729	Fusarium pseudograminearum CS3096	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Fusarium;Fusarium sambucinum species complex;Fusarium pseudograminearum;Fusarium pseudograminearum CS3096
1035111	Leguminivora glycinivorella	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Apoditrysia;Tortricoidea;Tortricidae;Olethreutinae;Grapholitini;Leguminivora;Leguminivora glycinivorella
1037660	Tilletiaria anomala UBC 951	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Georgefischeriales;Tilletiariaceae;Tilletiaria;Tilletiaria anomala;Tilletiaria anomala UBC 951
1041015	Drosophila rhopaloa	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Diptera;Brachycera;Muscomorpha;Eremoneura;Cyclorrhapha;Schizophora;Acalyptratae;Ephydroidea;Drosophilidae;Drosophilinae;Drosophilini;Drosophila;Sophophora;melanogaster group;rhopaloa subgroup;Drosophila rhopaloa
1041607	Hansenula ciferrii	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Phaffomycetales;Wickerhamomycetaceae;Hansenula;Hansenula ciferrii
1042646	Gadus chalcogrammus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Paracanthopterygii;Zeiogadaria;Gadariae;Gadiformes;Gadoidei;Gadidae;Gadus;Gadus chalcogrammus
1050635	Synechococcus sp. A15-24	species	root;cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus;Synechococcus sp. A15-24
1050638	Synechococcus sp. A15-28	species	root;cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Synechococcales;Synechococcaceae;Synechococcus;unclassified Synechococcus;Synechococcus sp. A15-28
1051616	Verticillium nonalfalfae	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Plectosphaerellaceae;Verticillium;Verticillium nonalfalfae
1052096	Cladosporium halotolerans	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;dothideomyceta;Dothideomycetes;Dothideomycetidae;Cladosporiales;Cladosporiaceae;Cladosporium;Cladosporium halotolerans
1056807	Morococcus cerebrosus	species	root;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Morococcus;Morococcus cerebrosus
1068978	Amycolatopsis methanolica 239	strain	root;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis;Amycolatopsis methanolica group;Amycolatopsis methanolica;Amycolatopsis methanolica 239
1069201	Aspergillus luchuensis	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus luchuensis
1069680	Pneumocystis murina B123	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;Taphrinomycotina;Pneumocystomycetes;Pneumocystales;Pneumocystaceae;Pneumocystis;Pneumocystis murina;Pneumocystis murina B123
1071378	Naumovozyma dairenensis CBS 421	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Naumovozyma;Naumovozyma dairenensis;Naumovozyma dairenensis CBS 421
1073243	Festucalex cinctus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Syngnathiaria;Syngnathiformes;Syngnathoidei;Syngnathidae;Syngnathinae;Festucalex;Festucalex cinctus
1078765	Scheffersomyces amazonensis	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Scheffersomyces;Scheffersomyces amazonensis
1079257	Ilyonectria robusta	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Ilyonectria;Ilyonectria robusta
1089207	Amoebozoa sp. SZA37	species	root;cellular organisms;Eukaryota;Amoebozoa;unclassified Amoebozoa;Amoebozoa sp. SZA37
1091426	Protomyctophum parallelum	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Myctophata;Myctophiformes;Myctophidae;Protomyctophum;Protomyctophum parallelum
1094350	Geosmithia morbida	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Bionectriaceae;Geosmithia;Geosmithia morbida
1095194	Colletotrichum karsti	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum boninense species complex;Colletotrichum karsti
1095630	Hyaloscypha bicolor E	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Leotiomycetes;Helotiales;Hyaloscyphaceae;Hyaloscypha;Hyaloscypha hepaticicola/Rhizoscyphus ericae species complex;Hyaloscypha bicolor;Hyaloscypha bicolor E
1100963	Cydia splendana	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Apoditrysia;Tortricoidea;Tortricidae;Olethreutinae;Grapholitini;Cydia;Cydia splendana
1129001	Emydura macquarii macquarii	subspecies	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Testudinata;Testudines;Pleurodira;Chelidae;Emydura;Emydura macquarii;Emydura macquarii macquarii
1130832	Rhodotorula toruloides NP11	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Pucciniomycotina;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;Rhodotorula toruloides;Rhodotorula toruloides NP11
1136231	Lodderomyces orthopsilosis Co 90-125	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Lodderomyces;Lodderomyces orthopsilosis;Lodderomyces orthopsilosis Co 90-125
1137606	Leptospira mayottensis	species	root;cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Leptospiria;Leptospirales;Leptospiraceae;Leptospira;Leptospira mayottensis
1138384	Acetivibrio thermocellus AD2	strain	root;cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Acetivibrionales;Acetivibrionaceae;Acetivibrio;Acetivibrio thermocellus;Acetivibrio thermocellus AD2
1141102	Leptospira borgpetersenii str. 4E	strain	root;cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Leptospiria;Leptospirales;Leptospiraceae;Leptospira;Leptospira borgpetersenii;Leptospira borgpetersenii str. 4E
1149848	Thermothelomyces heterothallicus CBS 202.75	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Sordariales;Chaetomiaceae;Thermothelomyces;Thermothelomyces heterothallicus;Thermothelomyces heterothallicus CBS 202.75
1156394	Saprolegnia diclina VS20	strain	root;cellular organisms;Eukaryota;Sar;Stramenopiles;Oomycota;Saprolegniomycetes;Saprolegniales;Saprolegniaceae;Saprolegnia;Saprolegnia diclina;Saprolegnia diclina VS20
1159556	Ustilaginoidea virens	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Hypocreales;Clavicipitaceae;Ustilaginoidea;Ustilaginoidea virens
1174673	Morchella importuna	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Morchellaceae;Morchella;Morchella sect. Distantes;Morchella importuna
1174677	Morchella sextelata	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;Pezizomycetes;Pezizales;Morchellaceae;Morchella;Morchella sect. Distantes;Morchella sextelata
1186058	Trichosporon asahii var. asahii CBS 2479	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Trichosporonales;Trichosporonaceae;Trichosporon;Trichosporon asahii;Trichosporon asahii var. asahii;Trichosporon asahii var. asahii CBS 2479
1192867	Chroicocephalus ridibundus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Laridae;Chroicocephalus;Chroicocephalus ridibundus
1195612	Chroomonas mesostigmatica CCMP1168	strain	root;cellular organisms;Eukaryota;Cryptophyceae;Pyrenomonadales;Chroomonadaceae;Chroomonas;Chroomonas mesostigmatica;Chroomonas mesostigmatica CCMP1168
1196081	Talaromyces amestolkiae	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces sect. Talaromyces;Talaromyces amestolkiae
1198114	Granulicella tundricola MP5ACTX9	strain	root;cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Granulicella;Granulicella tundricola;Granulicella tundricola MP5ACTX9
1198502	Lodderomyces theae	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Pichiomycetes;Serinales;Debaryomycetaceae;Lodderomyces;Lodderomyces theae
1203425	Notolabrus celidotus	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Euteleosteomorpha;Neoteleostei;Eurypterygia;Ctenosquamata;Acanthomorphata;Euacanthomorphacea;Percomorphaceae;Eupercaria;Labriformes;Labridae;Notolabrus;Notolabrus celidotus
1209916	Colletotrichum costaricense	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum acutatum species complex;Colletotrichum costaricense
1209918	Colletotrichum godetiae	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum acutatum species complex;Colletotrichum godetiae
1209932	Colletotrichum scovillei	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum acutatum species complex;Colletotrichum scovillei
1213859	Colletotrichum fructicola Nara gc5	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum gloeosporioides species complex;Colletotrichum fructicola;Colletotrichum fructicola Nara gc5
1215731	Colletotrichum aenigma	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Hypocreomycetidae;Glomerellales;Glomerellaceae;Colletotrichum;Colletotrichum gloeosporioides species complex;Colletotrichum aenigma
1219491	Actinomadura sp. WMMB 499	species	root;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;unclassified Actinomadura;Actinomadura sp. WMMB 499
1220188	Aspergillus tanneri	species	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;Eurotiomycetes;Eurotiomycetidae;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus subgen. Circumdati;Aspergillus tanneri
1229662	Pestalotiopsis fici W106-1	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Xylariomycetidae;Amphisphaeriales;Sporocadaceae;Pestalotiopsis;Pestalotiopsis fici;Pestalotiopsis fici W106-1
1232801	Amphibalanus amphitrite	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Communostraca;Thecostraca;Cirripedia;Thoracica;Thoracicalcarea;Balanomorpha;Balanoidea;Balanidae;Amphibalaninae;Amphibalanus;Amphibalanus amphitrite
1234273	Tachysurus fulvidraco	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Characiphysae;Siluriformes;Siluroidei;Bagridae;Tachysurus;Tachysurus fulvidraco
1241865	Buchnera aphidicola (Macrosiphoniella sanborni)	forma specialis	root;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Buchnera;Buchnera aphidicola;Buchnera aphidicola (Macrosiphoniella sanborni)
1242752	Glyphodes pyloalis	species	root;cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Aparaglossata;Panorpida;Amphiesmenoptera;Lepidoptera;Glossata;Neolepidoptera;Heteroneura;Ditrysia;Obtectomera;Pyraloidea;Crambidae;Spilomelinae;Glyphodes;Glyphodes pyloalis
1245227	Primulina eburnea	species	root;cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Lamiales;Gesneriaceae;Didymocarpoideae;Trichosporeae;Didymocarpinae;Primulina;Primulina eburnea
1248727	endosymbiont of unidentified scaly snail isolate Monju	species	root;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;unclassified Gammaproteobacteria;endosymbiont of unidentified scaly snail isolate Monju
1257118	Acanthamoeba castellanii str. Neff	strain	root;cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoebidae;Acanthamoeba;Acanthamoeba castellanii;Acanthamoeba castellanii str. Neff
1261393	Desulfatiglans parachlorophenolica	species	root;cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae;Desulfatiglans;Desulfatiglans parachlorophenolica
1277256	Pygsuia biforma	species	root;cellular organisms;Eukaryota;Breviatea;Pygsuia;Pygsuia biforma
1277687	Pseudozyma flocculosa PF-1	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycetes;Ustilaginales;Ustilaginaceae;Pseudozyma;Pseudozyma flocculosa;Pseudozyma flocculosa PF-1
1286976	Phaeoacremonium minimum UCRPA7	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Pezizomycotina;leotiomyceta;sordariomyceta;Sordariomycetes;Sordariomycetidae;Togniniales;Togniniaceae;Phaeoacremonium;Phaeoacremonium minimum;Phaeoacremonium minimum UCRPA7
1295528	Cryptococcus wingfieldii CBS 7118	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus wingfieldii;Cryptococcus wingfieldii CBS 7118
1295533	Cryptococcus amylolentus CBS 6039	strain	root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Tremellomycetes;Tremellales;Cryptococcaceae;Cryptococcus;Cryptococcus amylolentus;Cryptococcus amylolentus CBS 6039
