"GeneID","Description"
"LOC126272005","UDP-glycosyltransferase UGT5-like"
"LOC126272013","B9 domain-containing protein 1-like"
"LOC126272019","trehalase-like"
"LOC126272024","retinol-binding protein pinta-like"
"LOC126272025","retinol-binding protein pinta-like"
"LOC126272026","retinol-binding protein pinta-like"
"LOC126272027","retinol-binding protein pinta-like"
"LOC126272032","tektin-1"
"LOC126272040","ejaculatory bulb-specific protein 3-like"
"LOC126272041","ejaculatory bulb-specific protein 3-like"
"LOC126272047","uncharacterized LOC126272047"
"LOC126272055","uncharacterized LOC126272055"
"LOC126272056","uncharacterized LOC126272056"
"LOC126272063","putative methyltransferase DDB_G0268948"
"LOC126272064","uncharacterized LOC126272064"
"LOC126272068","uncharacterized LOC126272068"
"LOC126272080","arrestin domain-containing protein 17"
"LOC126272081","cartilage oligomeric matrix protein"
"LOC126272082","ileal sodium/bile acid cotransporter-like"
"LOC126272086","hemicentin-1"
"LOC126272087","venom dipeptidyl peptidase 4-like"
"LOC126272088","facilitated trehalose transporter Tret1-like"
"LOC126272092","uncharacterized LOC126272092"
"LOC126272095","uncharacterized LOC126272095"
"LOC126272096","fatty acid synthase-like"
"LOC126272099","uncharacterized LOC126272099"
"LOC126272102","uncharacterized LOC126272102"
"LOC126272105","pro-resilin-like"
"LOC126272106","pro-resilin-like"
"LOC126272107","pro-resilin-like"
"LOC126272108","pro-resilin-like"
"LOC126272110","pro-resilin-like"
"LOC126272116","villin-1"
"LOC126272123","venom dipeptidyl peptidase 4-like"
"LOC126272126","peroxiredoxin-6-like"
"LOC126272127","peroxiredoxin-6-like"
"LOC126272128","peroxiredoxin-6-like"
"LOC126272129","peroxiredoxin-6-like"
"LOC126272130","peroxiredoxin-6-like"
"LOC126272131","peroxiredoxin-6-like"
