"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126335446",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.62783194734326,0.000169628078080535
"LOC126335453",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",1.63118621472449,0.00922904935487152
"LOC126335461",TRUE,3,"Diet contrasts: infected; Infection within diet","Diet 50: infected vs control; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.04364442902157,0.0102972650184559
"LOC126335463",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",6.74093441180729,2.02387326578832e-28
"LOC126335465",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.53834883229931,0.00407960215943036
"LOC126335466",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",3.88717234065104,0.017814613111839
"LOC126335467",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.73561979553284,7.84001212923642e-08
"LOC126335468",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.60032491980348,1.41675176363827e-13
"LOC126335470",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",1.56384714797297,5.74315808624375e-06
"LOC126335471",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",4.80089071201285,0.00309259704297871
"LOC126335472",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.16098677302694,1.18879454974576e-06
"LOC126335490",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.45763064288032,3.24631577302021e-11
"LOC126335505",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 83: infected vs control","Downregulated",1.35924880625616,1.38197023381473e-07
"LOC126335514",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.28261602850065,0.00400883623824224
"LOC126335517",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.52164238750351,5.11698424093661e-09
"LOC126335518",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",2.18895990163971,0.00227410719248613
"LOC126335523",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",1.35296769988669,3.79745420402335e-06
"LOC126335538",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.19978097668207,0.00599277406894094
"LOC126335539",TRUE,1,"Infection within diet","Diet 83: infected vs control","Upregulated",1.13831504496794,0.022521340388814
"LOC126335544",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.68429983647194,0.0172933582412941
"LOC126335545",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.75902806575993,4.7931643079795e-09
"LOC126335546",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",1.61222196387328,0.00453799626287467
